Seed,Silhouette,CH_Index,DB_Index,MQ,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
2,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
3,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
4,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
5,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
6,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
7,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
8,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
9,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
10,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
11,0.61415843690421,283.361201541873,1.0011249287678,NaN,NaN,NaN,NaN,NaN
12,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
13,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
14,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
15,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
16,0.61415843690421,283.361201541873,1.0011249287678,NaN,NaN,NaN,NaN,NaN
17,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
18,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
19,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
20,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
21,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
22,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
23,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
24,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
25,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
26,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
27,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
28,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
29,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
30,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
31,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
32,0.61415843690421,283.361201541873,1.0011249287678,NaN,NaN,NaN,NaN,NaN
33,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
34,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
35,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
36,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
37,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
38,0.61415843690421,283.361201541873,1.0011249287678,NaN,NaN,NaN,NaN,NaN
39,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
40,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
41,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
42,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
43,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
44,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
45,0.61415843690421,283.361201541873,1.0011249287678,NaN,NaN,NaN,NaN,NaN
46,0.61455482350976,283.44041172265,0.996387557962315,NaN,NaN,NaN,NaN,NaN
47,0.612696276806506,283.335040364094,1.00923035373677,NaN,NaN,NaN,NaN,NaN
48,0.61455482350976,283.440411722649,0.996387557962315,NaN,NaN,NaN,NaN,NaN
49,0.61415843690421,283.361201541873,1.0011249287678,NaN,NaN,NaN,NaN,NaN
50,0.61415843690421,283.361201541873,1.0011249287678,NaN,NaN,NaN,NaN,NaN
